Date,Close,Log_Return,Volatility,Extreme_Event,GARCH_Volatility,Lambda,Regime,Regime_Code
2010-02-02,1103.3199462890625,0.0128895204452028,0.0104807028323538,0,0.010794978394139452,0.04891178888675487,Moderate,1
2010-02-03,1097.280029296875,-0.0054893503825385,0.0104654651869963,0,0.01101598059058224,0.04955774329990554,Moderate,1
2010-02-04,1063.1099853515625,-0.0316358560498069,0.0123898682804355,1,0.010379865807715322,0.04772115356644128,Moderate,1
2010-02-05,1066.18994140625,0.0028929303608266,0.0123578734971409,0,0.01620011056220531,0.06741724776613345,High Risk,2
2010-02-08,1056.739990234375,-0.0089028031003741,0.0123225619251893,0,0.01467720540303105,0.06158951933927856,High Risk,2
2010-02-09,1070.52001953125,0.0129558417735863,0.0128421522237775,0,0.013866679118949995,0.05869613068736787,High Risk,2
2010-02-10,1068.1300048828125,-0.0022350694280074,0.0127664710695388,0,0.013509609775389843,0.05746499267366947,High Risk,2
2010-02-11,1078.469970703125,0.0096338823351012,0.012832815823382,0,0.012326584045997641,0.053567585439669115,Moderate,1
2010-02-12,1075.510009765625,-0.0027483661199411,0.0127692443891511,0,0.011775570991977189,0.05184365506020933,Moderate,1
2010-02-16,1094.8699951171875,0.0178406535362614,0.0134656199566697,0,0.01082826213862337,0.04900853076062224,Moderate,1
2010-02-17,1099.510009765625,0.0042290045967103,0.0131291512982912,0,0.012064152969159279,0.052739493990876816,Moderate,1
2010-02-18,1106.75,0.0065631577337954,0.0131138757003721,0,0.011075215637837275,0.0497323229935997,Moderate,1
2010-02-19,1109.1700439453125,0.002184234863591,0.0124459871420062,0,0.01038180331480442,0.04772664289013678,Moderate,1
2010-02-22,1108.010009765625,-0.0010464051249203,0.0113187901095855,0,0.00952314492677214,0.04535472963503047,Moderate,1
2010-02-23,1094.5999755859375,-0.0121766449451987,0.011635079851057,0,0.008785700227169284,0.043411966771940744,Moderate,1
2010-02-24,1105.239990234375,0.0096735196971898,0.0117900145779414,0,0.009659731655990768,0.04572398998523203,Moderate,1
2010-02-25,1102.93994140625,-0.0020832085528651,0.0117598274328945,0,0.009573176740997145,0.045489642571419006,Moderate,1
2010-02-26,1104.489990234375,0.0014043925568579,0.0114082498749243,0,0.00887450160873275,0.04364143051615845,Moderate,1
2010-03-01,1115.7099609375,0.0101072574236037,0.0112880563905414,0,0.008191637953860239,0.041907628911491655,Moderate,1
2010-03-02,1118.31005859375,0.0023277310028862,0.0109159124322818,0,0.0084776284684007,0.04262521883458047,Moderate,1
2010-03-03,1118.7900390625,0.0004291095214003,0.0105709211887484,0,0.007867102497782531,0.04110794578755134,Stable,0
2010-03-04,1122.969970703125,0.0037291560795713,0.0104876665810445,0,0.007314792341070999,0.03978193230748308,Stable,0
2010-03-05,1138.699951171875,0.0139102828016039,0.0075162023685013,0,0.006939347785213891,0.038905051897409074,Stable,0
2010-03-08,1138.5,-0.0001756114321765,0.0075590345393733,0,0.008402294166895552,0.042435011075479756,Moderate,1
2010-03-09,1140.449951171875,0.0017112720239721,0.0070113704504677,0,0.007787006408400233,0.04091294130652605,Stable,0
2010-03-10,1145.6099853515625,0.0045143549042129,0.006678097022784,0,0.007253582584677212,0.03963763529942968,Stable,0
2010-03-11,1150.239990234375,0.0040333743135059,0.0065460114249883,0,0.006949324262517651,0.038928100864276685,Stable,0
2010-03-12,1149.989990234375,-0.0002173695700926,0.006446123887081,0,0.006653680361336178,0.03825082416266532,Stable,0
2010-03-15,1150.510009765625,0.0004520926234358,0.0063290739436568,0,0.006283939804472205,0.037420362036403164,Stable,0
2010-03-16,1159.4599609375,0.0077490149831599,0.0054569159964771,0,0.005957725928373768,0.03670264783695255,Stable,0
2010-03-17,1166.2099609375,0.0058047953325636,0.0054889146406942,0,0.006338994411195837,0.03754286629725455,Stable,0
2010-03-18,1165.8299560546875,-0.000325899126689,0.0054660024386514,0,0.006335931788758928,0.03753604100838759,Stable,0
2010-03-19,1159.9000244140625,-0.0050994264516127,0.0057313824941722,0,0.00601729869002131,0.036832680648324914,Stable,0
2010-03-22,1165.81005859375,0.00508235909918,0.0057104454333917,0,0.0062065689337392526,0.03724887627073851,Stable,0
2010-03-23,1174.1700439453125,0.0071453777848001,0.004619408225069,0,0.006140765178180685,0.03710364656014375,Stable,0
2010-03-24,1167.719970703125,-0.0055084478872883,0.0047970215450734,0,0.006375608827018654,0.037624560503335236,Stable,0
2010-03-25,1165.72998046875,-0.0017056210833286,0.0047777046830681,0,0.006550363863981628,0.038016930256438264,Stable,0
2010-03-26,1166.5899658203125,0.0007374506159884,0.0047900378542078,0,0.006264669365643714,0.03737757710655746,Stable,0
2010-03-29,1173.219970703125,0.005667146312798,0.0045259888115525,0,0.005939828692338196,0.036663672283025805,Stable,0
2010-03-30,1173.27001953125,4.26584629303888e-05,0.0045596304416674,0,0.005998453524495886,0.036791496508477656,Stable,0
2010-03-31,1169.4300537109375,-0.0032782423180327,0.004716579365098,0,0.005722673446567841,0.03619404909802536,Stable,0
2010-04-01,1178.0999755859375,0.0073864540055243,0.0048475181641518,0,0.005724623923394853,0.0361982403400582,Stable,0
2010-04-05,1187.43994140625,0.0078967294430878,0.0042447801185652,0,0.006098354785501677,0.037010346502616094,Stable,0
2010-04-06,1189.43994140625,0.001682878875349,0.0042126636093254,0,0.006471907110348864,0.03784027116194452,Stable,0
2010-04-07,1182.449951171875,-0.005894042967262,0.0045848296575101,0,0.0061263616578655046,0.037071933422784156,Stable,0
2010-04-08,1186.43994140625,0.0033686614308549,0.0045563080576303,0,0.006420439698860462,0.03772482941558429,Stable,0
2010-04-09,1194.3699951171875,0.0066616682968316,0.004662272814311,0,0.006160745351225757,0.03714768308753478,Stable,0
2010-04-12,1196.47998046875,0.0017650508571401,0.0046362823127579,0,0.00631495215312605,0.03748931963380151,Stable,0
2010-04-13,1197.300048828125,0.0006851660398368,0.0046325270090228,0,0.005995334392062037,0.03678468441357623,Stable,0
2010-04-14,1210.6500244140625,0.0110883630999086,0.0049031726371878,0,0.005712145751115922,0.03617143525324034,Stable,0
2010-04-15,1211.6700439453125,0.0008421839911768,0.0048341068686773,0,0.006877954051501393,0.03876351213051735,Stable,0
2010-04-16,1192.1300048828125,-0.016257982418547,0.0063097770676039,0,0.006462246699114798,0.03781857589710064,Stable,0
2010-04-19,1197.52001953125,0.0045111407395297,0.0061761038360732,0,0.009213201256404863,0.044527824745884396,Moderate,1
2010-04-20,1207.1700439453125,0.0080260457370713,0.0062974462055865,0,0.008615591076241828,0.04297576673238964,Moderate,1
2010-04-21,1205.93994140625,-0.0010195164357019,0.0061925823059769,0,0.008483068350808622,0.04263898667718702,Moderate,1
2010-04-22,1208.6700439453125,0.0022613206430901,0.0059807674861594,0,0.00788149926183302,0.04114309502419669,Stable,0
2010-04-23,1217.280029296875,0.0070982676832182,0.0060388132214971,0,0.00734978757411397,0.03986466660881479,Stable,0
2010-04-26,1212.050048828125,-0.0043057043550931,0.0062045147483856,0,0.007325431884029411,0.03980706769821954,Stable,0
2010-04-27,1183.7099609375,-0.0236596401787016,0.0083609185842887,1,0.007150122039958306,0.039394924512245154,Stable,0
2010-04-28,1191.3599853515625,0.0064419583781808,0.00846648928763,0,0.01194500687551277,0.052367770194219565,Moderate,1
2010-04-29,1206.780029296875,0.0128601802812895,0.0088224274386204,0,0.011119835331835193,0.04986423377493716,Moderate,1
2010-04-30,1186.68994140625,-0.0167878101398662,0.0096051584776734,1,0.011267589871921821,0.05030354848261083,Moderate,1
2010-05-03,1202.260009765625,0.0130352574532621,0.0098820107604813,0,0.012504899766966697,0.05413766053681723,Moderate,1
2010-05-04,1173.5999755859375,-0.0241271999574182,0.0113170195054785,1,0.012408003331293136,0.05382713422679179,Moderate,1
